Academic Administration | January | Annual Leave: 0 | Compassionate Leave: 1 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Academic Administration | February | Annual Leave: 0 | Compassionate Leave: 1 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 1
Academic Administration | March | Annual Leave: 0 | Compassionate Leave: 2 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Academic Administration | April | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Academic Administration | May | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Academic Administration | June | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Academic Administration | July | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Academic Administration | August | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Academic Administration | September | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Academic Administration | October | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Academic Administration | November | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Academic Administration | December | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Asia Pacific Language Centre | January | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Asia Pacific Language Centre | February | Annual Leave: 0 | Compassionate Leave: 2 | Emergency Leave: 1 | Maternity Leave: 0 | Medical Leave: 4
Asia Pacific Language Centre | March | Annual Leave: 7 | Compassionate Leave: 0 | Emergency Leave: 1 | Maternity Leave: 0 | Medical Leave: 0
Asia Pacific Language Centre | April | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Asia Pacific Language Centre | May | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Asia Pacific Language Centre | June | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Asia Pacific Language Centre | July | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Asia Pacific Language Centre | August | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Asia Pacific Language Centre | September | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Asia Pacific Language Centre | October | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Asia Pacific Language Centre | November | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Asia Pacific Language Centre | December | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Faculty of Business and Management | January | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Faculty of Business and Management | February | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
Faculty of Business and Management | March | Annual Leave: 2 | Compassionate Leave: 0 | Emergency Leave: 2 | Maternity Leave: 0 | Medical Leave: 0
