AP1001 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1002 | annual leave:5 | compassionate leave:2 | emergency leave:5 | maternity leave:5 | medical leave:4
AP1003 | annual leave:2 | compassionate leave:3 | emergency leave:5 | maternity leave:5 | medical leave:2
AP1004 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:1 | medical leave:5
AP1005 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1006 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1007 | annual leave:5 | compassionate leave:5 | emergency leave:3 | maternity leave:5 | medical leave:5
AP1008 | annual leave:2 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1009 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1010 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1011 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1012 | annual leave:5 | compassionate leave:4 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1013 | annual leave:5 | compassionate leave:5 | emergency leave:3 | maternity leave:5 | medical leave:4
AP1014 | annual leave:3 | compassionate leave:5 | emergency leave:3 | maternity leave:5 | medical leave:5
AP1015 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1016 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1017 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1018 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1019 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1020 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1021 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1022 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1023 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1024 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1025 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1026 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
AP1027 | annual leave:5 | compassionate leave:5 | emergency leave:5 | maternity leave:5 | medical leave:5
